Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample
Vans,Boots,Unisex,Black,55,United Kingdom,2026-01-08,2026-01-30,yes
Zara,Blouse,Women,White,24,France,2026-02-01,2026-02-10,yes
Adidas,Jacket,Women,Green,48,Germany,2026-03-10,2026-04-02,yes
Nike,Leggings,Women,Black,20,CA,2026-01-20,2026-01-25,yes
Urban Outfitters,Dress,Women,Pink,32,NY,2026-02-15,2026-03-01,yes
Carhartt,Jacket,Unisex,Beige,70,TX,2026-05-01,2026-08-01,yes
Levi's,Jeans,Women,Blue,36,Netherlands,2026-03-25,2026-04-05,yes
The North Face,T-Shirt,Men,Grey,18,WA,2026-06-15,2026-06-20,yes
Ralph Lauren,Sweater,Women,Red,38,FL,2026-01-12,2026-02-01,yes
Coach,Handbag,Women,Black,150,Canada,2026-04-20,2026-08-10,yes
J.Crew,Blouse,Women,Blue,25,IL,2026-07-05,2026-07-12,yes
