Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample
Frye,Shoes,Women,Black,131.00,OR,2019-08-19,2020-01-16,no
Aquatalia,Shoes,Women,Gray,135.00,MD,2019-09-24,2020-01-31,no
Vince Camuto,Accessories,Women,"White,Gray",4.00,NY,2019-11-03,2020-01-30,no
Frye,Bags,Women,Red,135.00,RI,2019-09-08,2020-02-05,no
Elizabeth and James,Accessories,Women,Brown,35.00,NY,2019-08-29,2020-02-05,no
PIKOLINOS,Shoes,Women,Cream,42.00,NY,2019-08-05,2020-02-06,no
Warner Bros.,Office,Home,White,13.00,OH,2019-10-23,2020-02-21,no
Frye,Bags,Women,Black,55.00,PA,2019-09-22,2020-02-23,no
Prada,Bags,Women,Black,160.00,NJ,2019-09-08,2020-02-27,no
Carbon38,Pants & Jumpsuits,Women,Red,55.00,IL,2020-02-16,2020-03-03,no
PIKOLINOS,Shoes,Women,Brown,85.00,CO,2019-09-23,2020-03-09,no
Christian Louboutin,Bags,Women,Cream,740.00,NY,2020-02-19,2020-03-08,no
Valentino Garavani,Shoes,Women,Black,300.00,LA,2020-02-26,2020-03-23,no
adidas,Accessories,Men,Black,12.00,NJ,2019-09-24,2020-03-23,no
Free People,Intimates & Sleepwear,Women,Green,12.00,CA,2019-10-10,2020-03-25,no
Kelsi Dagger,Bags,Women,"Brown,Yellow",30.00,CA,2019-09-24,2020-03-29,no
Copper Fit,Shoes,Men,White,20.00,IL,2019-10-20,2020-04-22,no
C. Wonder,Shoes,Women,"Black,Yellow",46.00,AR,2019-08-28,2020-05-09,no
Frye,Bags,Women,"Cream,Tan",100.00,FL,2020-05-17,2020-05-18,no
Frye,Bags,Women,"Cream,Tan",110.00,CA,2020-05-01,2020-05-15,no
GAP,Shoes,Women,Brown,21.00,PA,2019-10-15,2020-05-27,no
Aquatalia,Shoes,Women,"Blue,Orange",49.00,TX,2019-08-15,2020-05-27,no
Frye,Bags,Women,Brown,80.00,NC,2020-05-26,2020-05-28,no
Frye,Bags,Women,Green,85.00,OH,2020-05-14,2020-05-27,no
Marc By Marc Jacobs,Bags,Women,"Black,White",65.00,NJ,2019-09-13,2020-06-03,no
PIKOLINOS,Shoes,Women,Brown,47.00,OH,2019-09-16,2020-06-06,no
MAC Cosmetics,Makeup,Women,Black,12.00,CA,2020-06-02,2020-06-06,no
Katy Perry Collections,Shoes,Women,"Red,Blue",20.00,MN,2020-04-28,2020-06-09,no
Frye,Bags,Women,"Green,Black",76.00,TX,2020-05-17,2020-06-10,no
Tahari,Pants & Jumpsuits,Women,White,45.00,CT,2020-06-11,2020-06-11,no
Frye,Shoes,Women,Black,60.00,TX,2020-06-26,2020-06-26,no
Frye,Bags,Women,Brown,60.00,SC,2020-05-05,2020-06-26,no
Timberland,Underwear & Socks,Men,"Black,Gray",7.00,GA,2019-11-03,2020-07-13,no
Calvin Klein,Shoes,Women,Black,12.00,CA,2019-03-10,2020-07-29,no
Alterna,Hair,Women,Orange,50.00,WI,2020-07-17,2020-08-01,no
Sharper Image,Accessories,Women,Gray,45.00,PA,2020-08-01,2020-08-09,no
Onzie,Pants & Jumpsuits,Women,"Black,White",35.00,TX,2020-07-03,2020-08-09,no
MICHAEL Michael Kors,Accessories,Women,"Brown,Gold",25.00,IL,2019-09-22,2020-08-13,no
PIKOLINOS,Shoes,Women,Black,70.00,IN,2020-08-09,2020-08-21,no
Onzie,Pants & Jumpsuits,Women,"Brown,Tan",45.00,CA,2020-07-25,2020-08-25,no
Frye,Shoes,Women,Black,118.00,CA,2020-08-15,2020-08-24,no
kate spade,Shoes,Women,"White,Pink",65.00,PA,2020-05-17,2020-08-28,no
Rachel Zoe,Shoes,Women,"Purple,Gold",45.00,NY,2020-06-20,2020-09-02,no
Frye,Bags,Women,"Black,Brown",138.00,IL,2020-05-28,2020-09-06,no
PIKOLINOS,Shoes,Women,"Cream,Red",40.00,OR,2019-08-31,2020-09-06,no
Frye,Shoes,Women,Brown,130.00,SC,2019-08-28,2020-09-12,no
Frye,Bags,Women,Brown,130.00,SC,2020-09-10,2020-09-11,no
PIKOLINOS,Other,Women,"Red,Brown",30.00,FL,2019-08-29,2020-09-14,no
Frye,Bags,Women,Gray,90.00,PA,2020-03-27,2020-09-13,no
Tous,Jewelry,Women,"Silver,Black",50.00,CA,2020-08-31,2020-09-13,no
Frye,Bags,Women,"Brown,Purple",150.00,AL,2020-09-13,2020-09-13,no
Frye,Shoes,Women,Black,118.00,PA,2020-09-13,2020-09-16,no
Tom Ford,Accessories,Women,"Black,Silver",150.00,TX,2020-08-20,2020-09-15,no
Frye,Bags,Women,Tan,70.00,TN,2020-09-05,2020-09-18,no
Frye,Bags,Women,Black,120.00,CA,2020-09-23,2020-09-23,no
Frye,Accessories,Women,Brown,25.00,OR,2019-08-22,2020-09-24,no
Frye,Shoes,Women,Black,200.00,WA,2020-09-23,2020-10-07,no
Frye,Shoes,Women,"Black,Gold",100.00,SD,2019-08-22,2020-10-22,no
Frye,Shoes,Women,White,65.00,WA,2020-10-09,2020-12-01,no
Rachel Zoe,Bags,Women,Black,80.00,NJ,2020-09-24,2021-04-25,no
Frye,Bags,Women,Brown,110.00,NY,2020-09-24,2021-05-01,no
Frye,Bags,Women,Brown,110.00,WI,2020-09-23,2021-06-01,no
Frye,Bags,Women,Brown,115.00,OR,2020-09-23,2021-06-04,no
Frye,Bags,Women,Brown,190.00,LA,2020-05-28,2021-07-08,no
Frye,Shoes,Women,Brown,30.00,CA,2020-09-13,2021-07-08,no
Miu Miu,Bags,Women,"Black,Gold",100.00,SC,2021-07-10,2021-07-16,no
Frye,Bags,Women,Brown,50.00,VA,2019-08-05,2021-07-14,no
Birdies,Shoes,Women,"Blue,Gold",65.00,CA,2020-08-08,2021-07-10,no
Frye,Bags,Women,Green,135.00,VA,2021-07-10,2021-07-18,no
Swell,Accessories,Women,Blue,22.00,RI,2020-08-05,2021-07-16,no
PIKOLINOS,Shoes,Women,Black,158.00,NJ,2021-07-10,2021-07-20,no
Frye,Bags,Women,"Brown,Gray",70.00,LA,2020-08-30,2021-07-25,no
PIKOLINOS,Shoes,Women,"Cream,Brown",50.00,UT,2020-09-04,2021-07-25,no
Kenneth Cole,Shoes,Women,Blue,35.00,FL,2020-08-04,2021-07-26,no
Aquatalia,Shoes,Women,White,60.00,MI,2021-07-11,2021-08-06,no
Frye,Bags,Women,Brown,100.00,MA,2019-09-07,2021-08-09,no
Frye,Bags,Women,Green,35.00,LA,2019-08-15,2021-08-17,no
Frye,Bags,Women,Cream,160.00,MA,2021-08-19,2021-08-19,no
Frye,Bags,Women,"Cream,Tan",125.00,OK,2021-07-13,2021-08-22,no
Zara,Jackets & Coats,Women,Black,70.00,NJ,2021-08-19,2021-08-25,no
Frye,Bags,Women,Brown,100.00,TX,2021-07-10,2021-08-24,no
Frye,Bags,Women,"Brown,Tan",145.00,TN,2021-08-10,2021-08-27,no
Frye,Bags,Women,"Brown,Gray",90.00,MO,2021-07-28,2021-08-25,no
Birdies,Shoes,Women,"Orange,White",58.00,IL,2021-08-17,2021-08-29,no
Frye,Bags,Women,Red,45.00,MD,2020-08-10,2021-08-31,no
Frye,Bags,Women,Brown,250.00,TX,2021-07-14,2021-08-30,no
Calvin Klein,Shoes,Women,"Silver,Gold",28.00,PA,2021-08-28,2021-08-29,no
Frye,Other,Home,"Brown,Silver",40.00,TX,2021-08-18,2021-08-31,no
Vionic,Shoes,Men,Black,60.00,MD,2021-08-17,2021-08-29,no
Frye,Shoes,Women,Brown,95.00,TN,2021-08-18,2021-08-30,no
Dansko,Shoes,Women,"Tan,Brown",35.00,FL,2021-08-28,2021-08-31,no
Aquatalia,Shoes,Women,Black,185.00,NY,2021-08-21,2021-09-05,no
Frye,Bags,Women,"Black,White",85.00,CO,2020-09-12,2021-09-05,no
Frye,Bags,Women,Purple,150.00,PA,2021-08-09,2021-09-04,no
Frye,Bags,Men,Brown,280.00,CO,2021-08-26,2021-09-05,no
Frye,Bags,Women,Brown,100.00,CA,2020-09-15,2021-09-05,no
Frye,Bags,Women,Brown,145.00,GA,2021-09-07,2021-09-08,no
Frye,Accessories,Women,Brown,68.00,GA,2019-08-22,2021-09-12,no
Frye,Bags,Women,Brown,170.00,NJ,2021-09-08,2021-09-16,no
Chippewa,Shoes,Men,Black,75.00,CA,2021-09-09,2021-09-16,no
Vionic,Shoes,Women,Blue,60.00,IL,2021-09-05,2021-09-21,no
Vionic,Shoes,Men,Brown,45.00,CT,2021-08-16,2021-09-23,no
Frye,Bags,Women,Black,193.00,MS,2021-08-20,2021-09-26,no
Frye,Bags,Women,Brown,200.00,KS,2021-09-07,2021-09-22,no
Aquatalia,Shoes,Men,"Tan,Brown",65.00,TX,2021-09-08,2021-09-24,no
,Accessories,Men,"Red,Yellow",28.00,CA,2021-08-17,2021-09-26,no
Reebok,Tops,Women,"Black,Gold",24.00,SC,2021-07-10,2021-09-30,no
Frye,Bags,Women,,110.00,OH,2021-07-16,2021-10-03,no
Frye,Bags,Women,Red,210.00,WI,2021-08-12,2021-09-29,no
Frye,Bags,Women,Brown,160.00,WY,2021-09-01,2021-10-02,no
Frye,Shoes,Women,Yellow,91.00,NJ,2021-09-10,2021-10-10,no
Frye,Bags,Women,Green,100.00,FL,2021-08-20,2021-10-08,no
Vionic,Shoes,Women,"Cream,Tan",78.00,ND,2021-08-20,2021-10-12,no
Patricia Nash,Shoes,Women,Brown,50.00,WI,2021-09-29,2021-10-16,no
Coach,Shoes,Women,"Silver,Gold",40.00,NC,2021-09-10,2021-10-20,no
Vionic,Shoes,Women,"Pink,Blue",60.00,MD,2021-09-24,2021-10-17,no
,Other,Home,Black,32.00,NY,2020-08-19,2021-10-19,no
Frye,Shoes,Women,Tan,50.00,GA,2021-08-08,2021-10-19,no
Vionic,Shoes,Women,Purple,42.00,WV,2021-08-17,2021-10-23,no
Frye,Bags,Women,Blue,130.00,HI,2021-08-20,2021-10-26,no
Coach,Shoes,Women,Black,70.00,DC,2021-08-25,2021-11-01,no
Calleen Cordero,Shoes,Women,"Tan,Brown",55.00,MA,2021-09-05,2021-11-08,no
Frye,Bags,Women,"Brown,Gray",80.00,GA,2020-03-29,2021-11-13,no
Frye,Bags,Women,"Black,Brown",100.00,NM,2021-09-09,2021-11-12,no
Frye,Shoes,Women,Green,133.00,MO,2021-09-24,2021-11-18,no
Frye,Bags,Women,"Gray,Brown",196.00,FL,2020-05-28,2021-11-21,no
Vionic,Shoes,Women,Black,40.00,NY,2021-09-24,2021-11-28,no
Frye,Bags,Men,"Green,Black",185.00,GA,2021-08-09,2021-12-05,no
Frye,Accessories,Women,"Black,Gray",74.00,RI,2019-08-18,2021-12-06,no
Rebecca Minkoff,Bags,Women,Black,100.00,RI,2019-09-08,2021-12-10,no
Paul Mitchell,Hair,Women,Black,8.00,MD,2020-09-13,2022-01-16,no
