Brand,Type,Gender,Color,List Price,Date Listed,Sample
Tommy Hilfiger,Accessories,Women,Purple,15.00,2019-08-22,no
Frye,Bags,Women,White,180.00,2019-09-07,no
Frye,Shoes,Women,White,120.00,2019-09-27,no
rag & bone,Shoes,Women,Black,146.00,2019-10-23,no
Nanni Milano,Accessories,Women,"Black, Gold",56.00,2019-10-23,no
Frye,Shoes,Women,Black,90.00,2019-11-05,no
kate spade,Jewelry,Women,"Gold, Green",46.00,2020-04-26,no
Michael Kors,Accessories,Women,"Gold, Pink",110.00,2020-05-10,no
Frye,Shoes,Women,Black,126.00,2020-08-08,no
Frye,Shoes,Women,"Tan, Pink",108.00,2020-08-29,no
Aquatalia,Shoes,Women,"Yellow, Brown",160.00,2020-08-30,no
Frye,Shoes,Women,Brown,128.00,2020-08-31,no
Martinelli,Shoes,Women,Blue,85.00,2020-09-07,no
Frye,Shoes,Women,Black,153.00,2020-09-07,no
Taryn Rose,Shoes,Women,"Pink, Cream",63.00,2021-07-10,no
Everlast,Other,Men,Black,28.00,2021-07-11,no
Rebecca Minkoff,Bags,Women,"Blue, Silver",100.00,2021-07-12,no
Frye,Shoes,Women,White,155.00,2021-07-14,no
Delmar,Jewelry,Women,"Black, Silver",42.00,2021-07-17,no
Kendra Scott,Jewelry,Women,"Gray, Silver",51.00,2021-07-21,no
Teodora,Jewelry,Women,"White, Green",69.00,2021-07-21,no
Frye,Shoes,Women,Brown,198.00,2021-07-28,no
Salvatore Ferragamo,Shoes,Women,"Red, Black",300.00,2021-08-08,no
Frye,Shoes,Women,Red,100.00,2021-08-11,no
Frye,Shoes,Women,"Gray, Silver",110.00,2021-08-16,no
Aquatalia,Shoes,Women,Purple,118.00,2021-08-16,no
Frye,Shoes,Women,Brown,115.00,2021-08-16,no
Frye,Other,Home,"Brown, Silver",68.00,2021-08-18,no
Frye,Shoes,Women,Gray,100.00,2021-08-20,no
Giani Bernini,Shoes,Women,"Red, Pink",40.00,2021-08-23,no
Rachel Zoe,Shoes,Women,"Purple, Silver",48.00,2021-08-23,no
Coach,Shoes,Women,Red,131.00,2021-08-25,no
Lands' End,Shoes,Women,"White, Silver",48.00,2021-08-29,no
Lewit,Shoes,Women,Red,85.00,2021-08-31,no
Frye,Bags,Women,Red,208.00,2024-11-10,no
Frye,Bags,Women,"Gray, Brown",180.00,2021-09-07,no
Frye,Shoes,Men,Brown,110.00,2021-09-09,no
Frye,Bags,Women,"White, Cream",250.00,2021-09-17,no
Patricia Nash,Shoes,Women,Black,78.00,2021-09-25,no
Foot Petals,Shoes,Women,Gold,42.00,2022-03-21,no
Maria Victoria,Shoes,Women,White,125.00,2022-07-31,no
See By Chloe,Bags,Women,"Gray, Tan",220.00,2022-07-31,no
Rachel Zoe,Shoes,Women,"Black, Gray",50.00,2022-08-05,no
Mountrek,Shoes,Men,Brown,40.00,2022-08-05,no
Fiorentini + Baker,Shoes,Women,"White, Brown",100.00,2022-08-09,no
Aquatalia,Bags,Men,Brown,110.00,2022-08-09,no
Frye,Bags,Women,"Brown, Gray",245.00,2022-08-10,no
Frye,Bags,Women,"Gray, Brown",255.00,2022-08-10,no
Frye,Shoes,Women,"Gray, Black",122.00,2022-08-11,no
Mountrek,Shoes,Men,Brown,52.00,2022-08-12,no
Stella McCartney,Shoes,Women,White,330.00,2022-08-12,no
Steven By Steve Madden,Shoes,Women,Brown,45.00,2022-08-12,no
Vionic,Shoes,Men,Brown,105.00,2022-08-13,no
Frye,Shoes,Women,Brown,207.00,2022-08-17,no
adidas,Other,Men,"Silver, Black",32.00,2022-08-28,no
Mikasa,Dining,Home,,45.00,2022-08-31,no
Aquatalia,Shoes,Women,Black,125.00,2022-09-12,no
cushe,Shoes,Women,Pink,65.00,2022-09-14,no
Frye,Bags,Women,Purple,160.00,2022-10-17,no
Punto Pigro,Shoes,Men,Tan,162.00,2022-10-27,no
Frye,Shoes,Men,"Black, Gray",200.00,2022-11-01,no
The Dessy Group,Dresses,Women,"White, Cream",150.00,2023-02-22,no
Casa Hernanz,Shoes,Women,Black,40.00,2024-06-18,no
Ancient Greek Sandals,Shoes,Women,"Gold, Silver",180.00,2024-06-19,no
Frye,Shoes,Men,Black,216.00,2024-06-19,no
Sam Edelman,Shoes,Women,Gray,67.00,2024-06-24,no
Frye,Shoes,Kids,Brown,105.00,2024-06-24,no
Frye,Shoes,Kids,Black,90.00,2024-06-24,no
Foot Petals,Shoes,Women,Black,57.00,2024-06-24,no
Frye,Shoes,Men,Brown,198.00,2024-07-20,no
Frye,Shoes,Women,Black,75.00,2024-09-10,no
before you collection,Tops,Women,"Pink, Cream",35.00,2024-09-12,no
Miss Selfridge,Dresses,Women,"Red, Green",35.00,2024-09-13,no
Frye,Accessories,Women,Gray,43.00,2024-09-25,no
Frye,Accessories,Men,Gray,43.00,2024-09-25,no
Robert Clergerie,Shoes,Women,Black,109.00,2024-09-25,no
Levi's,Jeans,Women,Blue,100.00,2024-09-26,no
Via Spiga,Accessories,Women,Pink,54.00,2024-09-27,no
Oysho,Swim,Women,Red,15.00,2024-10-02,no
Timberland,Accessories,Men,Tan,20.00,2024-10-02,no
Frye,Bags,Women,Black,198.00,2024-10-12,no
Frye,Shoes,Women,Black,128.00,2024-11-03,no
no brand,Bags,Women,"Brown, Tan",25.00,2024-11-09,no
Taryn Rose,Shoes,Women,Silver,108.00,2024-11-10,no
Frye,Shoes,Women,Black,148.00,2024-11-10,no
Parfois,Bags,Women,"Tan, Brown",30.00,2024-11-11,no
PIKOLINOS,Shoes,Women,Brown,125.00,2024-11-12,no
Luz da Lua,Bags,Women,Cream,85.00,2024-11-13,no
Rachel Zoe,Shoes,Women,Brown,135.00,2024-11-14,no
L'Oreal,Makeup,Women,Pink,12.00,2024-11-15,no
Classical Elf,Jackets & Coats,Women,Tan,30.00,2024-11-15,no
,Accessories,Men,"Blue, Black",35.00,2024-11-15,no
Lands' End,Shoes,Women,Black,115.00,2024-11-15,no
Vionic,Shoes,Women,"Cream, Tan",90.00,2024-11-15,no
Barneys New York,Shoes,Women,Tan,170.00,2024-11-16,no
Vionic,Shoes,Women,Black,70.00,2024-11-16,no
Frye,Shoes,Women,"White, Tan",75.00,2024-11-16,no
Coach,Shoes,Women,Tan,120.00,2024-11-16,no
Mango,Bags,Women,White,30.00,2024-11-16,no
Frye,Bags,Women,Gray,210.00,2024-11-22,no
Lotto,Shirts,Men,"Black, Green",35.00,2024-11-22,no
Vionic,Shoes,Men,Black,70.00,2024-11-24,no
Coach,Shoes,Women,Brown,150.00,2024-11-24,no
Max Azzure,Bags,Women,Black,110.00,2024-11-28,no
Aquatalia,Shoes,Women,Gray,100.00,2024-11-28,no
Frye,Shoes,Men,"Black, Gray",290.00,2024-11-30,no
Coach,Shoes,Women,Brown,118.00,2024-11-30,no
Prada,Shoes,Women,Black,289.00,2024-12-01,no
Snozu,Jackets & Coats,Kids,"Red, Blue",26.00,2024-12-03,no
Aquatalia,Shoes,Women,Brown,150.00,2024-12-06,no
Kiko,Makeup,Women,"Green, Purple",20.00,2024-12-06,no
Frye,Bags,Women,"Gray, Tan",189.00,2024-12-08,no
Frye,Shoes,Women,Brown,120.00,2024-12-13,no
Coach,Shoes,Men,Black,109.00,2024-12-13,no
Frye,Shoes,Women,Black,110.00,2024-12-18,no
Frye,Shoes,Women,Brown,236.00,2024-12-26,no
Frye,Shoes,Women,"Green, Black",258.00,2025-03-17,no
Ralph Lauren,Shoes,Women,Tan,70.00,2025-01-08,no
Coach,Shoes,Women,Black,210.00,2025-01-09,no
Katy Perry Collections,Cell Phones & Accessories,Electronics,"Red, Pink",20.00,2025-01-09,no
Charles & Keith,Accessories,Women,Black,39.00,2025-01-10,no
Compañia Fantastica,Bags,Women,Green,18.00,2025-01-10,no
Samsonite,Bags,Women,Blue,95.00,2025-01-11,no
Samsonite,Bags,Men,Blue,95.00,2025-01-11,no
Apple,"Computers, Laptops & Parts",Electronics,White,15.00,2025-01-17,no
,Jackets & Coats,Women,Black,24.00,2025-01-19,no
Burberry,Bath & Body,Women,Cream,78.00,2025-01-19,no
Taryn Rose,Accessories,Women,White,16.00,2025-01-19,no
Aeropostale,Jackets & Coats,Men,"Blue, Black",22.00,2025-01-20,no
Cole Haan,Tablets & Accessories,Electronics,Black,35.00,2025-01-25,no
