Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample,Item Title
,,,,40.00,NJ,,2019-09-28,no,"Lilly Pulitzer MCKIM WEDGE, gold metalli"
AT&T,,,,30.00,CA,,2019-10-13,no,AT&T UMM ART AirTies Smart WiFi Extender
,,,,21.00,GA,,2019-10-18,no,HP Universal Power Adapter - black
,,,,25.00,TX,,2019-10-24,no,ELTA MD UV-46 sunscreen (Tinted)
TNA,,,,130.00,CA,,2019-12-20,no,Aritzia TNA Niseko Parka - black - Mediu
Frye,,,,60.00,TN,,2020-02-10,no,frye lola perf slide - sz 7.5 - cognac
,,,,45.00,MD,,2020-02-24,no,Cuisnart CGG-180T petit gourmet portable
Frye,,,,106.00,MD,,2020-03-08,no,NEW FRYE Phillip Harness Short cognac 7
Frye,,,,130.00,MO,,2020-03-25,no,frye Casey NS tote - black
Frye,,,,117.00,CA,,2020-04-05,no,FRYE harness small saddle XBDY- BLK
Birkenstock,,,,46.00,MD,,2020-04-20,no,Birkenstock Gizeh - golden brown - sz 37
Frye,,,,84.00,MO,,2020-05-06,no,Frye Melissa Slim Wallet - brown
Frye,,,,150.00,NC,,2020-05-15,no,Frye Melissa Western Satchel - Dk Brown
Kerastase,,,,27.00,CA,,2020-05-16,no,Kerastase Fusio Dose Booster Discipline
Mirenesse,,,,13.00,TN,,2020-06-02,no,Mirenesse All Day Master Perfect Brows-D
Frye,,,,179.00,OH,,2020-06-16,no,Frye Melissa Whipstitch crossbody-brown
Patricia Nash,,,,65.00,CA,,2020-06-18,no,"Patricia Nash Lorena clog, Red, sz 9"
Frye,,,,88.00,WI,,2020-06-19,no,Frye Ilana Harness L Zip wallet - wine
PIKOLINOS,,,,79.00,ID,,2020-06-24,no,"Pikolinos Sagunto, Garnet, Sz 37"
,,,,37.00,NH,,2020-06-24,no,Various nail color paint - opi and essie
Christian Louboutin,,,,18.00,IL,,2020-06-25,no,Christian Louboutin x Nordstrom shopping
Gucci,,,,25.00,CO,,2020-06-27,no,Gucci shopping bag
,,,,23.00,NY,,2020-07-01,no,VTech cordless phone cs6719-2
Frye,,,,150.00,IL,,2020-07-01,no,Frye Harness Crossbody Bucket -Yellow
Frye,,,,128.00,AL,,2020-07-02,no,Frye Melissa Saddle - beige
Tory Burch,,,,46.00,CA,,2020-07-16,no,Tory Burch Eliza floral top Sz 6
Frye,,,,172.00,NY,,2020-07-17,no,Frye Farrah Fringe Shoulder bag - blk
,,,,53.00,IN,,2020-07-20,no,"Reynosa 58 Floor Lamp-nickel"""
,,,,15.00,OR,,2020-07-22,no,Smashbox Light it up Lipstick & mattifie
Frye,,,,150.00,OK,,2020-07-22,no,Frye Harness Leather Bucket Xbdy - black
Frye,,,,132.00,WA,,2020-08-02,no,Frye Harness Tote - black
PIKOLINOS,,,,73.00,IN,,2020-08-08,no,NWT Pikolinos (W) Leather Crossbody-Brow
,,,,32.00,IL,,2020-08-12,no,NEW -NUDE Purify deep cleansing mask
Apple,,,,40.00,GA,,2020-08-14,no,Apple keyboard silver OBO
Louis Vuitton,,,,13.00,GA,,2020-08-20,no,Louis Vuitton orange shopping bag
Swarovski,,,,170.00,PA,,2020-08-23,no,Swarovski ballerina figurine
Frye,,,,68.00,OK,,2020-09-04,no,Frye Anna toiletry/cosmetic bag-gry/brn
,,,,24.00,MA,,2020-09-06,no,"Victorias Secret PINK quarter zip, M"
Frye,,,,150.00,CA,,2020-09-08,no,"NEW Frye Campus 14L, Black, sz 8"
Reebok,,,,24.00,ID,,2020-09-12,no,Steelers Reebok Womens hoodie-Sm
Frye,,,,45.00,CA,,2020-09-13,no,Frye Platform Ankle Tie Wedge Sandal 37
Frye,,,,104.00,VA,,2020-09-13,no,Frye Emma Tote - Natural (beige color)
Frye,,,,230.00,TN,,2020-09-14,no,"NWT Frye Melissa Hobo, Cognac"
,,,,68.00,SC,,2020-09-15,no,Dolce & Gabbana Floral Pink Sunglasses
Onzie,,,,38.00,FL,,2020-09-16,no,Onzie Capri Pant skull leggings - Large
Timberland,,,,17.00,TX,,2020-09-18,no,Timberland Pom Beanie - grey
Frye,,,,140.00,TX,,2020-09-24,no,Frye Heidi Fringe Hobo - grey
Frye,,,,107.00,SC,,2021-07-09,no,Frye Belle Bohemian Hobo - dark gry/brwn
Frye,,,,150.00,NC,,2021-07-25,no,"Frye Melissa Tote, dark brown"
Frye,,,,24.00,OR,,2021-07-28,no,NWOT Frye Ivy Nylon Pouch - Peacock
Cuisinart,,,,27.00,AL,,2021-07-28,no,NEW IN BOX Cuisinart Coffee Grinder
,,,,100.00,NC,,2021-07-28,no,Melissa camera crossbody slate
Frye,,,,144.00,AZ,,2021-07-30,no,Frye Melissa Shopper - Slate
Frye,,,,129.00,NJ,,2021-08-12,no,NWT Frye Melissa camera Crossbody-brown
,,,,210.00,IA,,2021-08-17,no,Deborah Studded tote - anthracite
,,,,95.00,CA,,2021-08-18,no,Casey. Tan
Frye,,,,175.00,NY,,2021-08-20,no,FRYE x Anna Sui Dutchess Saddle Crossbod
Frye,,,,130.00,PA,,2021-08-20,no,Frye Campus Hip Pack - Beige
Mirenesse,,,,20.00,CA,,2021-08-25,no,NEW Mirenesse Velvet Lip Mania Collectio
Frye,,,,90.00,FL,,2021-08-26,no,Frye Satchel - brown
Frye,,,,140.00,NC,,2021-09-03,no,Frye Melissa Backpack (42132) - Slate
PIKOLINOS,,,,50.00,TX,,2021-09-13,no,"Pikolinos Madrid wedge sneaker, 37, olmo"
Vionic,,,,41.00,TX,,2021-09-21,no,"Nwob vionic posey flat, black, sz 7"
Frye,,,,120.00,AK,,2021-09-22,no,"Frye Natalie Cuff Lug, sz 8.5, Dk Brown"
Frye,,,,160.00,GA,,2021-09-24,no,"Frye Melissa Shoulder, cognac"
,,,,60.00,TX,,2021-09-26,no,Hello Kitty Space millenium wedding pair 2000
Steve Madden,,,,21.00,CA,,2021-09-29,no,"Steve Madden Chevie boot, blk multi, sz 7.5"
PIKOLINOS,,,,152.00,CA,,2021-10-01,no,NWT Pikolinos Alcora Crossbody WHA-150C3 (BRANDY)
Frye,,,,150.00,TX,,2021-10-05,no,"Frye colorful structured tote, blue red multi"
Coach,,,,25.00,LA,,2021-10-08,no,"Coach Shoehorn, signature logo  (silver)"
Frye,,,,95.00,WA,,2021-10-09,no,"Frye Kelly Front Zip bootie, Green, sz 6"
,,,,55.00,NJ,,2021-10-14,no,"CK Jeans High top sneaker, white, sz 9"
Coach,,,,38.00,NC,,2021-10-21,no,Coach Poppy bangle - gold
Frye,,,,144.00,NY,,2021-10-24,no,"Frye Sabrina 6G lace up, sz 6, blk/grey"
,,,,65.00,FL,,2021-11-08,no,"NWOB belle -sigerson morrison booties, brown, 6"
Frye,,,,170.00,CA,,2021-11-12,no,Frye Large Addie Crossbody - Sand
,,,,15.00,CA,,2021-11-28,no,Katy Perry dustbag
Aquatalia,,,,98.00,NV,,2021-12-02,no,"Aquatalia knee high boots, BLK, sz 6.5"
kate spade,,,,24.00,MD,,2021-12-13,no,Kate Spade Stop & Smell the Roses Idiom Bangle
Frye,,,,100.00,AL,,2021-12-14,no,"Frye Drawstring crossbody, brown"
Frye,,,,152.00,CA,,2021-12-22,no,"Frye Belle Bohemian Crossbody, whiskey"
Aquatalia,,,,110.00,MA,,2022-02-12,no,"NIB Aquatalia Kalena boot, Blk, sz 7.5"
Frye,,,,54.00,CA,,2022-02-17,no,"Frye Whipstitch High top, Sand, sz 7"
Frye,,,,150.00,MA,,2022-03-04,no,"Frye Skull Tote, ivory/beige color"
Frye,,,,148.00,GA,,2022-03-19,no,"Frye Natalie Backpack, brown"
Frye,,,,75.00,OH,,2022-04-04,no,"NIB Frye Carson Ankle Zip, cognac, sz 7"
Frye,,,,155.00,IL,,2022-04-08,no,"Frye Sabrina 6G lace up, brown/tan, sz 6"
,,,,44.00,NC,,2022-04-30,no,"Bliss Firm, Baby, Firm Moisturizer NEW"
Frye,,,,158.00,MD,,2022-08-06,no,Frye Farrah Fringe bag- burnt red
Frye,,,,115.00,WA,,2022-08-20,no,"Frye Veronica Duck boot, brown multi, sz 6"
Frye,,,,65.00,TX,,2022-10-24,no,"Frye Studded Clutch, black"
PIKOLINOS,,,,43.00,OH,,2022-11-14,no,Pikolinos Calafat - cuero(brown) -sz 37
Aquatalia,,,,83.00,NY,,2022-11-30,no,"Aquatalia Inside Zip Suede Boots, BLK, 9"
Dansko,,,,50.00,MO,,2022-12-07,no,"Dansko red white floral clog, Sz 40"
Aquatalia,,,,123.00,MS,,2022-12-22,no,"NIB Aquatalia Kalena sheslring boot, taupe, sz 7"
