Poshmark Sales Report for @omclosetgalore,"","",!ambassador sue,👩🏻‍💻!
12/31/2019 - 08/30/2026
Notes:
"** Only completed sales, where you have received earnings, are shown in this file."
** Bundles are displayed as itemized listings.
"** Order price for a bundle item is the listing price, minus the bundle discount or the offer discount, if either was applied."
"** Lowest set price is the lowest historical price set by the seller, not including offer or bundle discounts."
"** Seller shipping discount for an individual bundle item is the bundle item price, divided by the total bundle price, multiplied by the seller shipping discount for the total bundle."
"** Net earnings is order price, minus the seller shipping discount, minus Poshmark fees, minus tax if applicable."
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
"** If sales tax was collected from the buyer, it will be submitted to the state on your behalf. Please see Terms of Service for full details."
""
Listing Date,Order Date,SKU,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Packaging Fee,Hazmat Noncompliance Fee,Overweight Label Fee,Your Earnings,Buyer State,Buyer Zip Code,Buyer Username,Sales Tax (Paid by Buyer),Notes,Other Info
08/19/2019,01/16/2020,"",5e157636a1f56f001d4cc6c6,🆕 FRYE Phillip Harness Short - Black Sz 7,Women,Shoes,Ankle Boots & Booties,Frye,Black,7,N,Y,Y,"",$131.00,$188.00,$1.80,$0.00,$0.00,$0.00,$0.00,$103.00,OR,97322,brmassey11,--,,State does not currently impose a sales tax.,
09/24/2019,01/31/2020,"",5e343d2843bf4a28a25f5b68,🆕 Aquatalia Brooke Rubbed Suede - Taupe - Sz 7.5,Women,Shoes,Ankle Boots & Booties,Aquatalia,Gray,7.5,N,Y,N,"",$135.00,$200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$108.00,MD,21078,delgz4t3l2pypbx,$8.10,$0.00,"",
11/03/2019,01/30/2020,"",5e33c77810258b1eb3cd98fe,🆕 Vince Camuto socks (10 pairs) wht/gry/orange,Women,Accessories,Hosiery & Socks,Vince Camuto,"White,Gray",OS,N,Y,Y,"",$4.00,$8.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.05,NY,10012,tawltawl,$0.00,$0.00,Item exempt from sales tax. Sales tax only applicable to shipping fee.,
09/08/2019,02/05/2020,"",5e3ac3bc8dc0b85402567a30,Frye Perf Tote - Red    [Like New] preowned EUC,Women,Bags,Totes,Frye,Red,OS,N,Y,N,"",$135.00,$160.00,$0.00,$0.00,$0.00,$0.00,$0.00,$108.00,RI,02832,fishworship,$9.93,$0.00,"",
08/29/2019,02/05/2020,"",5df775164d03a0eda848e21d,EUC// ELIZABETH & JAMES - Houston Aviator Shades,Women,Accessories,Sunglasses,Elizabeth and James,Brown,OS,N,Y,N,"",$35.00,$56.00,$0.00,$0.00,$0.00,$0.00,$0.00,$28.00,NY,11104,odalyssees,$3.72,$0.00,"",
08/05/2019,02/06/2020,"",5e3ca39bf2658b64aa273bd6,Pikolinos Calabria In Marfil (cream) Sz 38,Women,Shoes,Flats & Loafers,PIKOLINOS,Cream,8,N,Y,N,"",$42.00,$72.00,$0.00,$0.00,$0.00,$0.00,$0.00,$33.60,NY,11378,alecallejas1,$0.00,$0.00,This sale is exempt from sales tax.,
10/23/2019,02/21/2020,"",5e4ffdc2151ccd4d8a083361,🆕 Harry Potter Magnet set,Home,Office,"",Warner Bros.,White,OS,N,N,Y,"",$13.00,$13.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.05,OH,44023,ktgiancola506,$0.88,$0.00,"",
09/22/2019,02/23/2020,"",5e534f0d8ad6bb601acfcda2,Frye Harness Wallet - Black,Women,Bags,Wallets,Frye,Black,OS,N,Y,N,"",$55.00,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$44.00,PA,19541,dagmcgraw24,$3.73,$0.00,"",
09/08/2019,02/27/2020,"",5e58747f993a0dcc709c0640,Prada Zip around/snap button closure Wallet- BLACK,Women,Bags,Wallets,Prada,Black,OS,N,Y,N,"",$160.00,$210.00,$0.00,$0.00,$0.00,$0.00,$0.00,$128.00,NJ,07430,katskeeps029,$11.07,$0.00,"",
02/16/2020,03/03/2020,"",5e5f27c58ad6bbdf341d6172,Carbon38 Padang Leggings // Red Dahlia // Small,Women,Pants & Jumpsuits,Leggings,Carbon38,Red,S,N,Y,N,"",$55.00,$75.00,$0.00,$0.00,$0.00,$0.00,$0.00,$44.00,IL,60647,a_rieb,$3.88,$0.00,"",
09/23/2019,03/09/2020,"",5e667d7388889ac87a150e29,🆕 Pikolinos Cadaques - brandy - Sz 37,Women,Shoes,Sandals,PIKOLINOS,Brown,7,N,Y,Y,"",$85.00,$110.00,$7.11,$0.00,$0.00,$0.00,$0.00,$60.89,CO,80118,cdemoye,$3.41,$0.00,"",""
02/19/2020,03/08/2020,"",5e658ca153f5e77c3fd33d93,🆕 nwt Christian Louboutin zoompouch studded-IVORY,Women,Bags,Crossbody Bags,Christian Louboutin,Cream,OS,N,Y,Y,"",$740.00,$868.00,$0.00,$0.00,$0.00,$0.00,$0.00,$592.00,NY,13041,tonyaj73,$59.20,$0.00,"",
02/26/2020,03/23/2020,"",5e78e71af247f3b82dd84123,"Valentino Garavani Rockstud Espadrille, Sz 38 BLK",Women,Shoes,Espadrilles,Valentino Garavani,Black,8,N,Y,N,"",$300.00,$498.00,$0.00,$0.00,$0.00,$0.00,$0.00,$240.00,LA,70130,lheber8,$25.35,$0.00,"",
