"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Penalty Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m20859036975","09/28/2019","","10/03/2019","Lilly Pulitzer MCKIM WEDGE, gold metalli","Completed","New Jersey","Florida","40.00","11.00","0.00","4.00","0.00","0.00","0.00","36.00","0.00","0.00","0.00","0.00","0.00"
"m68336501553","10/13/2019","","10/18/2019","AT&T UMM ART AirTies Smart WiFi Extender","Completed","California","Florida","30.00","0.00","5.25","3.00","0.00","0.00","0.00","21.75","0.00","0.00","0.00","0.00","0.00"
"m23823427343","10/18/2019","","10/22/2019","HP Universal Power Adapter - black","Completed","Georgia","Florida","21.00","0.00","5.25","2.10","0.00","0.00","0.00","13.65","0.00","0.00","0.00","0.00","0.00"
"m15223458477","10/24/2019","","10/27/2019","ELTA MD UV-46 sunscreen (Tinted)","Completed","Texas","Florida","25.00","0.00","5.25","2.50","0.00","0.00","0.00","17.25","0.00","0.00","0.00","0.00","0.00"
"m15155580813","12/20/2019","","12/24/2019","Aritzia TNA Niseko Parka - black - Mediu","Completed","California","Florida","130.00","0.00","10.77","13.00","0.00","0.00","0.00","106.23","13.33","0.00","0.00","0.00","0.00"
"m29523448458","02/10/2020","","02/12/2020","frye lola perf slide - sz 7.5 - cognac","Completed","Tennessee","Florida","60.00","0.00","11.00","6.00","0.00","0.00","0.00","43.00","0.00","0.00","0.00","0.00","0.00"
"m13348335286","02/24/2020","","02/29/2020","Cuisnart CGG-180T petit gourmet portable","Completed","Maryland","Florida","45.00","0.00","10.40","4.50","0.00","0.00","0.00","30.10","2.70","0.00","0.00","0.00","0.00"
"m47704376028","03/08/2020","","03/11/2020","NEW FRYE Phillip Harness Short cognac 7","Completed","Maryland","Florida","106.00","0.00","9.55","10.60","0.00","0.00","0.00","85.85","6.36","0.00","0.00","0.00","0.00"
"m45761493598","03/25/2020","","03/27/2020","frye Casey NS tote - black","Completed","Missouri","Florida","130.00","0.00","11.00","13.00","0.00","0.00","0.00","106.00","0.00","0.00","0.00","0.00","0.00"
"m62985136435","04/05/2020","","04/08/2020","FRYE harness small saddle XBDY- BLK","Completed","California","Florida","117.00","0.00","4.99","11.70","0.00","0.00","0.00","100.31","10.82","0.00","0.00","0.00","0.00"
