Poshmark Inventory Report for @omclosetgalore
Inventory as of 08/30/2026
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,Listing SKU,Item SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Quantity Available,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info,Seller Shipping Discount
08/22/2019,2565,,,Tommy Hilfiger Clutch/padded case,Women,Accessories,Tablet Cases,Tommy Hilfiger,Purple,OS,N,1,1,"",$15.00,$15.00,,""
09/07/2019,2549,,,Frye Ilana Wrapped Tote - White,Women,Bags,Totes,Frye,White,OS,N,1,22,"",$110.00,$180.00,,""
09/27/2019,2529,,,Frye Alexis Low Lace Sneaker - White/sage - Sz 7,Women,Shoes,Athletic Shoes,Frye,White,7,N,1,18,"",$110.00,$120.00,,$1.50
10/23/2019,2503,,,"🆕 Rag & Bone Calla wedge espadrille - black, Sz 7",Women,Shoes,Sandals,rag & bone,Black,7,Y,1,12,"",$120.00,$146.00,,$1.50
10/23/2019,2503,,,NANNI MILANO Belt - Gold color accent,Women,Accessories,Belts,Nanni Milano,"Black, Gold",OS,N,1,14,"",$56.00,$56.00,,""
11/05/2019,2490,,,(EUC) Frye Lee A-line Perf // Sz 7.5 // Black,Women,Shoes,Espadrilles,Frye,Black,7.5,N,1,4,"",$89.00,$90.00,,$1.50
04/26/2020,2317,,,Kate Spade Statement necklace (gold color) (EUC),Women,Jewelry,Necklaces,kate spade,"Gold, Green",OS,N,1,8,"",$46.00,$46.00,,""
05/10/2020,2303,,,Michael Kors rose gold/brownish watch (MK-5640),Women,Accessories,Watches,Michael Kors,"Gold, Pink",OS,N,1,5,"",$110.00,$110.00,,""
08/08/2020,2213,,,Frye Karissa Mule - Black Sz 7.5,Women,Shoes,Mules & Clogs,Frye,Black,7.5,N,1,4,"",$126.00,$126.00,,$1.50
08/29/2020,2192,,,"Frye Riley Tassel, Tan, sz 7.5",Women,Shoes,Sandals,Frye,"Tan, Pink",7.5,N,1,5,"",$100.00,$108.00,,$0
08/30/2020,2191,,,"🆕Aquatalia Michaela haircalf, leopard, Sz 7",Women,Shoes,Heels,Aquatalia,"Yellow, Brown",7,Y,1,5,"",$157.00,$160.00,,""
08/31/2020,2190,,,"Frye Fiona Deco Slide, redwood, Sz 7.5",Women,Shoes,Mules & Clogs,Frye,Brown,7.5,N,1,6,"",$120.00,$128.00,,""
09/07/2020,2183,,,"🆕Martinelli Moc Loafer / Marino (Blue), sz 38",Women,Shoes,Flats & Loafers,Martinelli,Blue,7.5,Y,1,0,"",$72.00,$85.00,,$1.50
09/07/2020,2183,,,"Frye Gabby Peep Bootie, Blk, sz 7.5",Women,Shoes,Ankle Boots & Booties,Frye,Black,7.5,N,1,1,"",$153.00,$153.00,,$1.50
07/10/2021,1877,,,"Taryn Rose Rosalyn Flat, Doe, sz 7",Women,Shoes,Flats & Loafers,Taryn Rose,"Pink, Cream",7,N,1,3,"",$63.00,$63.00,,""
07/11/2021,1876,,,[Like New] Everlast Pro Style Training Gloves -Blk,Men,Other,"",Everlast,Black,OS,N,1,4,"",$28.00,$28.00,,""
07/12/2021,1875,,,Rebecca Minkoff Fringe Mac Mini - light blue,Women,Bags,Crossbody Bags,Rebecca Minkoff,"Blue, Silver",OS,N,1,7,"",$72.00,$100.00,,$1.50
07/14/2021,1873,,,"Frye Brielle Overlay Sling, white, sz 7",Women,Shoes,Sandals,Frye,White,7,N,1,3,"",$140.00,$155.00,,$1.50
07/17/2021,1870,,,"Delmar Two-Tone Fleur de Lis ring, sz 6",Women,Jewelry,Rings,Delmar,"Black, Silver",6,N,1,5,"",$42.00,$42.00,,$1.50
07/21/2021,1866,,,🆕 Kendra Scott Drop Earrings - grey/blue,Women,Jewelry,Earrings,Kendra Scott,"Gray, Silver",OS,N,1,4,"",$51.00,$51.00,,""
07/21/2021,1866,,,Teodora - Italy Necklace,Women,Jewelry,Necklaces,Teodora,"White, Green",OS,N,1,4,"",$69.00,$69.00,,""
07/28/2021,1859,,,"Frye Dorado Jodphur, DK Brnw, sz 7.5",Women,Shoes,Ankle Boots & Booties,Frye,Brown,7.5,N,1,1,"",$198.00,$198.00,,$1.50
08/08/2021,1848,,,Ferragamo Creations (Ltd edition) Floral Bootie. 7,Women,Shoes,Ankle Boots & Booties,Salvatore Ferragamo,"Red, Black",7,N,1,9,"",$300.00,$300.00,,$1.50
08/11/2021,1845,,,"NWOT/B Frye T Strap sandals, red, Sz 6",Women,Shoes,Sandals,Frye,Red,6,N,1,5,"",$98.00,$100.00,,$1.50
08/16/2021,1840,,,"🆕wob Frye Gia Lug Bootie, Sz 6.5, Anthracite",Women,Shoes,Ankle Boots & Booties,Frye,"Gray, Silver",6.5,N,1,2,"",$106.00,$110.00,,$1.50
08/16/2021,1840,,,"🆕wob Aquatalia Valora heel, Oxblood, Sz 6.5",Women,Shoes,Heels,Aquatalia,Purple,6.5,N,1,3,"",$95.00,$118.00,,$1.50
08/16/2021,1840,,,"Frye Harness mule, Brown, Sz 6",Women,Shoes,Mules & Clogs,Frye,Brown,6,N,1,4,"",$115.00,$115.00,,$1.50
08/18/2021,1838,,,🆕Frye Travel Flask // redwood (great gift!),Home,Other,"",Frye,"Brown, Silver",OS,Y,2,17,"",$50.00,$68.00,,""
08/20/2021,1836,,,"🆕wob Frye Criss-cross/ankle sandal, Grey, Sz 6",Women,Shoes,Sandals,Frye,Gray,6,N,1,7,"",$100.00,$100.00,,$1.50
08/23/2021,1833,,,"🆕wob Giani Bernini sling back heel, Sz 6, coral",Women,Shoes,Heels,Giani Bernini,"Red, Pink",6,N,1,0,"",$40.00,$40.00,,$1.50
08/23/2021,1833,,,"🆕wob Rachel Zoe snake embossed heel, Sz 7",Women,Shoes,Heels,Rachel Zoe,"Purple, Silver",7,N,1,1,"",$48.00,$48.00,,""
08/25/2021,1831,,,"🆕wob Coach Red Suede boots, Sz 6",Women,Shoes,Heeled Boots,Coach,Red,6,N,1,19,"",$95.00,$131.00,,$1.50
08/29/2021,1827,,,"🆕Lands End Classic Court sneaker, wht/slv, Sz 8.5",Women,Shoes,Sneakers,Lands' End,"White, Silver",8.5,Y,1,4,"",$48.00,$48.00,,$1.50
08/31/2021,1825,,,"🆕wob Lewit Ankle Wrap Heel, Red, Sz 36",Women,Shoes,Heels,Lewit,Red,36EU,N,1,2,"",$85.00,$85.00,,""
11/10/2024,658,,,Frye Jenny convertible fold over Tote - Burnt Red,Women,Bags,Totes,Frye,Red,OS,N,1,10,"",$208.00,$208.00,,$1.50
09/07/2021,1818,,,"🆕Frye Paige Small Crossbody, brown/grey",Women,Bags,Crossbody Bags,Frye,"Gray, Brown",OS,N,1,9,"",$180.00,$180.00,,$1.50
