Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample
Zara,Coat,Women,Black,45,France,2026-01-05,2026-02-15,yes
Levi's,Jeans,Men,Blue,32,United Kingdom,2026-02-10,2026-02-14,yes
Adidas,Sneakers,Kids,White,22,Germany,2026-03-01,2026-03-20,yes
Free People,Dress,Women,Multicolor,35,Netherlands,2026-04-01,2026-06-01,yes
Nike,Jacket,Men,Black,55,United Kingdom,2026-01-18,2026-01-24,yes
Anthropologie,Skirt,Women,Green,27,France,2026-05-01,2026-05-20,yes
Vans,T-Shirt,Unisex,White,12,Germany,2026-06-01,2026-06-03,yes
Madewell,Blouse,Women,Beige,22,United Kingdom,2026-02-25,2026-04-10,yes
Carhartt,Coat,Men,Olive,75,Poland,2026-03-05,2026-06-15,yes
Lululemon,Leggings,Women,Grey,40,France,2026-07-01,2026-07-08,yes
Coach,Boots,Women,Brown,92,United Kingdom,2026-01-25,2026-05-01,yes
